id,first_name,last_name,document_number,birth_date,registration_date
1,LAURA,DA SILVA,12345678,2000-01-01,2023-01-01
2,BELEN,PLA OJEDA,23456789,2001-01-01,2023-01-01
3,NIEVES,BORREGO SEVILLA,34567890,2002-01-01,2023-01-01
4,IKER,RIERA GUERRERO,45678901,2003-01-01,2023-01-01
5,OMAR,MORCILLO REY,56789012,2004-01-01,2023-01-01
6,ARMANDO,MARIN FALCON,67890123,2005-01-01,2023-01-01
7,ELOY,OLMEDO BUENO,78901234,2006-01-01,2023-01-01
8,GREGORIA,PAZ ARIZA,89012345,2007-01-01,2023-01-01
9,BENJAMIN,VARELA HERVAS,90123456,2008-01-01,2023-01-01
10,PEDRO ANTONIO,DE LA CRUZ LOPEZ,01234567,2009-01-01,2023-01-01
11,ESPERANZA,CHACON SORIANO,12345678,2010-01-01,2023-01-01
12,NADIA,SERRANO PALOMO,23456789,2011-01-01,2023-01-01
13,ISMAEL,MENDEZ CASTELLANO,34567890,2012-01-01,2023-01-01
14,ADAM,OTERO VALVERDE,45678901,2013-01-01,2023-01-01
15,EDGAR,VALENCIA GALINDO,56789012,2014-01-01,2023-01-01
16,FELIPE,ANDRES REDONDO,67890123,2015-01-01,2023-01-01
17,ADRIANA,CASANOVA RUEDA,78901234,2016-01-01,2023-01-01
18,JOSEFA,ESTRADA ALCAZAR,89012345,2017-01-01,2023-01-01
19,MACARENA,CEREZO ALFONSO,90123456,2018-01-01,2023-01-01
20,LLUIS,VALENZUELA VENTURA,01234567,2019-01-01,2023-01-01
